Ages,Gender,Pendidikan,Hoby,Jobs,Pets,Addresess,Fear,Dream,Fav_food
34,L,SMA,Ngoding,Trainer,Otter,Sukabumi,Ketinggian,Hitam,Nasi Padang
42,L,S1,Ngoding,Guru,Anjing,Cisaat,Ketinggian,Hitam,Batagor
31,L,SMK,GYM,Pustakawan,Kucing,Cisaat,Laut,Artis,Batagor
51,P,SMA,GYM,Pustakawan,Kucing,Nyalindung,Gelap,Artis,Cimol
41,P,S2,GYM,Pustakawan,Otter,Cisaat,Gelap,Artis,Nasi Padang
30,L,S2,Ngoding,Guru,Tupai,Nyalindung,Ketinggian,Kaya Raya,Nasi Padang
56,L,S2,GYM,Trainer,Anjing,Nyalindung,Gelap,Hitam,Risol Charel
23,L,SMA,Ngoding,Guru,Otter,Cisaat,Gelap,Sehat,Seblak
36,L,SMK,GYM,Pustakawan,Kucing,Nyalindung,Laut,Hitam,Seblak
57,P,S2,Ngoding,Pustakawan,Anjing,Sukabumi,Ketinggian,Kaya Raya,Cimol
47,L,S1,GYM,Pustakawan,Anjing,Sukabumi,Ketinggian,Sehat,Nasi Padang
18,P,SMA,Membaca,Trainer,Kucing,Nyalindung,Laut,Sehat,Seblak
39,P,SMA,Membaca,Guru,Tupai,Sukabumi,Ketinggian,Sehat,Seblak
49,P,SMK,GYM,Trainer,Otter,Cisaat,Ketinggian,Kaya Raya,Seblak
26,L,S1,Ngoding,Pustakawan,Tupai,Nyalindung,Gelap,Artis,Batagor
40,P,SMK,GYM,Trainer,Kucing,Cisaat,Laut,Sehat,Batagor
54,P,S2,Ngoding,Trainer,Tupai,Cisaat,Laut,Hitam,Nasi Padang
18,L,SMA,Ngoding,Trainer,Otter,Cisaat,Gelap,Hitam,Risol Charel
45,P,S1,Membaca,Guru,Tupai,Sukabumi,Laut,Kaya Raya,Nasi Padang
43,P,SMA,Ngoding,Pustakawan,Tupai,Cisaat,Laut,Hitam,Nasi Padang
39,P,S1,Membaca,Trainer,Anjing,Sukabumi,Ketinggian,Kaya Raya,Risol Charel
29,L,SMK,Ngoding,Trainer,Anjing,Cisaat,Ketinggian,Kaya Raya,Seblak
21,P,SMK,Ngoding,Guru,Anjing,Nyalindung,Ketinggian,Kaya Raya,Batagor
45,P,S1,Ngoding,Guru,Otter,Sukabumi,Laut,Hitam,Nasi Padang
31,L,S1,Membaca,Pustakawan,Kucing,Nyalindung,Laut,Kaya Raya,Seblak
43,L,SMK,Ngoding,Guru,Otter,Sukabumi,Laut,Artis,Nasi Padang
40,P,S2,Membaca,Trainer,Otter,Sukabumi,Laut,Kaya Raya,Risol Charel
27,L,SMK,Ngoding,Guru,Tupai,Sukabumi,Laut,Artis,Cimol
36,P,S1,Ngoding,Pustakawan,Otter,Sukabumi,Ketinggian,Sehat,Risol Charel
29,L,SMA,GYM,Trainer,Anjing,Nyalindung,Laut,Kaya Raya,Batagor
55,P,S1,Membaca,Guru,Kucing,Cisaat,Ketinggian,Hitam,Nasi Padang
47,L,SMA,Ngoding,Pustakawan,Tupai,Nyalindung,Laut,Artis,Seblak
21,L,SMA,Ngoding,Trainer,Tupai,Sukabumi,Gelap,Hitam,Nasi Padang
25,L,SMA,Ngoding,Pustakawan,Otter,Cisaat,Gelap,Kaya Raya,Batagor
53,P,S1,Ngoding,Trainer,Kucing,Nyalindung,Gelap,Kaya Raya,Batagor
26,L,SMA,Ngoding,Guru,Tupai,Cisaat,Laut,Artis,Risol Charel
41,L,S1,Membaca,Guru,Tupai,Sukabumi,Gelap,Sehat,Cimol
29,L,SMA,Ngoding,Pustakawan,Anjing,Nyalindung,Ketinggian,Sehat,Cimol
29,L,SMA,Ngoding,Pustakawan,Otter,Nyalindung,Ketinggian,Artis,Risol Charel
55,L,S1,Membaca,Pustakawan,Kucing,Sukabumi,Ketinggian,Hitam,Risol Charel
33,P,S2,GYM,Trainer,Anjing,Nyalindung,Laut,Artis,Risol Charel
60,L,SMK,Ngoding,Pustakawan,Tupai,Sukabumi,Laut,Artis,Cimol
21,L,SMK,GYM,Guru,Kucing,Nyalindung,Laut,Hitam,Batagor
24,P,SMK,GYM,Trainer,Kucing,Sukabumi,Ketinggian,Sehat,Batagor
24,L,S1,GYM,Guru,Otter,Nyalindung,Ketinggian,Kaya Raya,Batagor
18,P,S2,Membaca,Pustakawan,Anjing,Nyalindung,Gelap,Artis,Nasi Padang
24,P,SMA,GYM,Guru,Kucing,Cisaat,Ketinggian,Hitam,Risol Charel
23,L,SMA,Ngoding,Trainer,Anjing,Nyalindung,Gelap,Artis,Batagor
33,P,S1,Membaca,Trainer,Kucing,Sukabumi,Gelap,Artis,Seblak
25,L,SMK,Membaca,Pustakawan,Otter,Cisaat,Laut,Hitam,Cimol
33,P,SMK,Membaca,Trainer,Tupai,Nyalindung,Ketinggian,Hitam,Seblak
41,L,S1,Membaca,Pustakawan,Kucing,Cisaat,Laut,Hitam,Cimol
34,P,S1,Ngoding,Guru,Kucing,Sukabumi,Laut,Sehat,Nasi Padang
43,P,SMK,Membaca,Trainer,Kucing,Cisaat,Gelap,Artis,Nasi Padang
27,L,S2,Ngoding,Guru,Anjing,Cisaat,Ketinggian,Sehat,Batagor
37,L,S2,Ngoding,Guru,Tupai,Sukabumi,Gelap,Artis,Nasi Padang
48,P,S2,Membaca,Guru,Anjing,Cisaat,Ketinggian,Artis,Cimol
36,P,S2,Membaca,Pustakawan,Kucing,Cisaat,Ketinggian,Sehat,Cimol
45,P,S2,GYM,Guru,Tupai,Cisaat,Ketinggian,Sehat,Seblak
41,L,S1,Membaca,Trainer,Kucing,Sukabumi,Gelap,Kaya Raya,Nasi Padang
29,P,SMA,GYM,Trainer,Kucing,Sukabumi,Ketinggian,Artis,Nasi Padang
41,L,S1,Ngoding,Trainer,Anjing,Cisaat,Gelap,Kaya Raya,Seblak
35,P,SMK,Membaca,Trainer,Kucing,Sukabumi,Laut,Hitam,Nasi Padang
47,L,S1,GYM,Trainer,Otter,Cisaat,Ketinggian,Hitam,Nasi Padang
31,L,S1,Membaca,Trainer,Tupai,Sukabumi,Laut,Sehat,Seblak
54,P,S2,Ngoding,Trainer,Otter,Nyalindung,Ketinggian,Sehat,Batagor
60,L,SMA,Membaca,Pustakawan,Otter,Cisaat,Gelap,Hitam,Cimol
33,L,S1,Ngoding,Trainer,Kucing,Sukabumi,Laut,Kaya Raya,Nasi Padang
56,P,S1,GYM,Pustakawan,Kucing,Nyalindung,Ketinggian,Kaya Raya,Nasi Padang
19,P,SMK,Membaca,Trainer,Anjing,Nyalindung,Ketinggian,Sehat,Batagor
24,L,S1,Membaca,Guru,Anjing,Sukabumi,Ketinggian,Artis,Batagor
21,L,S2,Membaca,Trainer,Anjing,Sukabumi,Ketinggian,Sehat,Risol Charel
24,L,S2,Membaca,Trainer,Kucing,Cisaat,Gelap,Kaya Raya,Seblak
59,L,S1,Membaca,Pustakawan,Anjing,Sukabumi,Ketinggian,Sehat,Risol Charel
23,P,S2,GYM,Guru,Anjing,Nyalindung,Laut,Kaya Raya,Nasi Padang
52,P,SMK,Membaca,Trainer,Anjing,Nyalindung,Ketinggian,Sehat,Batagor
50,P,SMA,Ngoding,Pustakawan,Anjing,Sukabumi,Gelap,Sehat,Nasi Padang
59,P,SMA,GYM,Guru,Anjing,Cisaat,Gelap,Sehat,Seblak
25,L,S2,GYM,Trainer,Otter,Nyalindung,Ketinggian,Hitam,Seblak
20,P,SMK,Ngoding,Trainer,Otter,Sukabumi,Gelap,Sehat,Nasi Padang
49,L,SMK,Membaca,Guru,Tupai,Cisaat,Ketinggian,Hitam,Seblak
34,L,SMK,Membaca,Guru,Kucing,Sukabumi,Gelap,Sehat,Batagor
28,L,S1,GYM,Trainer,Anjing,Cisaat,Laut,Hitam,Risol Charel
50,L,SMA,GYM,Trainer,Kucing,Nyalindung,Gelap,Sehat,Cimol
37,L,S2,Membaca,Trainer,Tupai,Sukabumi,Ketinggian,Artis,Risol Charel
29,P,SMA,Membaca,Trainer,Otter,Sukabumi,Laut,Artis,Seblak
32,P,S2,Membaca,Pustakawan,Anjing,Cisaat,Ketinggian,Artis,Risol Charel
59,P,S1,Membaca,Guru,Tupai,Nyalindung,Laut,Kaya Raya,Batagor
56,P,SMK,Membaca,Pustakawan,Kucing,Nyalindung,Laut,Hitam,Cimol
20,L,S2,Ngoding,Trainer,Otter,Sukabumi,Laut,Sehat,Nasi Padang
20,L,S2,GYM,Pustakawan,Anjing,Cisaat,Gelap,Kaya Raya,Nasi Padang
42,P,SMA,GYM,Trainer,Tupai,Nyalindung,Ketinggian,Artis,Nasi Padang
53,L,S1,Membaca,Pustakawan,Otter,Cisaat,Ketinggian,Hitam,Batagor
32,P,S2,Ngoding,Pustakawan,Anjing,Nyalindung,Ketinggian,Artis,Nasi Padang
44,L,S1,GYM,Pustakawan,Otter,Cisaat,Gelap,Kaya Raya,Cimol
54,P,S1,Ngoding,Trainer,Anjing,Cisaat,Gelap,Kaya Raya,Nasi Padang
42,L,SMA,Ngoding,Guru,Kucing,Nyalindung,Laut,Kaya Raya,Seblak
18,P,SMA,GYM,Pustakawan,Kucing,Sukabumi,Gelap,Sehat,Cimol
43,P,S1,Membaca,Pustakawan,Tupai,Sukabumi,Gelap,Hitam,Nasi Padang
25,L,S2,Ngoding,Pustakawan,Anjing,Cisaat,Ketinggian,Hitam,Risol Charel
50,P,S2,Ngoding,Trainer,Tupai,Nyalindung,Ketinggian,Sehat,Seblak
44,P,SMK,Membaca,Pustakawan,Tupai,Nyalindung,Ketinggian,Sehat,Cimol
20,L,SMA,Membaca,Guru,Kucing,Nyalindung,Laut,Sehat,Risol Charel
54,L,S2,Membaca,Trainer,Tupai,Cisaat,Ketinggian,Artis,Seblak
47,P,SMK,Membaca,Trainer,Kucing,Nyalindung,Ketinggian,Sehat,Batagor
27,P,SMA,Membaca,Pustakawan,Anjing,Cisaat,Laut,Hitam,Batagor
40,P,SMK,GYM,Pustakawan,Anjing,Sukabumi,Gelap,Kaya Raya,Nasi Padang
55,L,S1,GYM,Pustakawan,Otter,Nyalindung,Laut,Hitam,Nasi Padang
36,P,SMK,GYM,Trainer,Tupai,Sukabumi,Laut,Artis,Risol Charel
36,L,S1,GYM,Pustakawan,Tupai,Sukabumi,Gelap,Hitam,Risol Charel
19,P,S2,GYM,Trainer,Kucing,Cisaat,Laut,Artis,Nasi Padang
43,P,SMA,GYM,Guru,Tupai,Nyalindung,Ketinggian,Kaya Raya,Nasi Padang
56,P,SMA,Ngoding,Pustakawan,Anjing,Cisaat,Laut,Kaya Raya,Nasi Padang
33,L,SMA,Membaca,Pustakawan,Kucing,Sukabumi,Gelap,Artis,Seblak
41,P,S2,GYM,Pustakawan,Kucing,Cisaat,Gelap,Hitam,Cimol
51,L,SMA,Membaca,Guru,Kucing,Nyalindung,Gelap,Hitam,Risol Charel
47,L,SMA,Membaca,Guru,Anjing,Sukabumi,Gelap,Kaya Raya,Batagor
56,P,SMA,Ngoding,Pustakawan,Anjing,Nyalindung,Gelap,Hitam,Batagor
44,L,SMA,Ngoding,Guru,Tupai,Cisaat,Laut,Hitam,Cimol
46,P,SMA,Ngoding,Trainer,Otter,Nyalindung,Gelap,Kaya Raya,Batagor
49,L,S1,Membaca,Guru,Kucing,Nyalindung,Gelap,Hitam,Seblak
21,P,S2,GYM,Pustakawan,Anjing,Sukabumi,Gelap,Sehat,Seblak
33,P,SMK,GYM,Trainer,Kucing,Sukabumi,Ketinggian,Sehat,Seblak
29,P,SMK,Ngoding,Pustakawan,Kucing,Nyalindung,Gelap,Sehat,Cimol
26,P,S2,Membaca,Trainer,Anjing,Cisaat,Laut,Hitam,Seblak
21,P,S1,Membaca,Pustakawan,Kucing,Nyalindung,Laut,Hitam,Batagor
29,P,SMK,Ngoding,Trainer,Tupai,Nyalindung,Laut,Sehat,Seblak
48,P,S1,Membaca,Trainer,Tupai,Nyalindung,Ketinggian,Hitam,Batagor
38,P,S1,GYM,Guru,Tupai,Cisaat,Laut,Sehat,Seblak
43,L,SMK,Membaca,Guru,Kucing,Cisaat,Gelap,Kaya Raya,Risol Charel
28,L,S2,Ngoding,Pustakawan,Tupai,Cisaat,Laut,Kaya Raya,Cimol
24,L,SMK,GYM,Trainer,Anjing,Cisaat,Laut,Kaya Raya,Risol Charel
53,L,SMA,Ngoding,Guru,Otter,Cisaat,Gelap,Hitam,Nasi Padang
59,L,SMA,Membaca,Pustakawan,Otter,Sukabumi,Laut,Hitam,Nasi Padang
55,L,S1,Ngoding,Trainer,Anjing,Cisaat,Ketinggian,Hitam,Risol Charel
59,L,S1,Membaca,Pustakawan,Otter,Nyalindung,Ketinggian,Sehat,Nasi Padang
58,L,SMA,Ngoding,Pustakawan,Otter,Cisaat,Laut,Sehat,Seblak
48,L,S2,Membaca,Guru,Anjing,Cisaat,Gelap,Artis,Risol Charel
58,L,S1,Ngoding,Guru,Otter,Cisaat,Laut,Sehat,Nasi Padang
48,L,SMK,GYM,Pustakawan,Kucing,Cisaat,Gelap,Hitam,Cimol
50,L,SMA,Membaca,Pustakawan,Kucing,Nyalindung,Gelap,Artis,Seblak
54,L,S1,Ngoding,Trainer,Kucing,Sukabumi,Ketinggian,Sehat,Batagor
26,P,S2,GYM,Guru,Kucing,Sukabumi,Laut,Hitam,Seblak
60,L,SMA,Membaca,Trainer,Tupai,Cisaat,Ketinggian,Sehat,Seblak
56,L,S2,Ngoding,Trainer,Kucing,Sukabumi,Laut,Kaya Raya,Seblak
56,L,S2,GYM,Guru,Tupai,Nyalindung,Laut,Kaya Raya,Nasi Padang
25,L,SMA,Ngoding,Pustakawan,Anjing,Cisaat,Gelap,Hitam,Seblak
51,P,SMK,Membaca,Guru,Otter,Nyalindung,Ketinggian,Sehat,Risol Charel
59,P,SMA,Membaca,Guru,Tupai,Cisaat,Gelap,Kaya Raya,Cimol
50,P,SMA,GYM,Pustakawan,Kucing,Cisaat,Laut,Hitam,Cimol
51,L,SMA,Ngoding,Guru,Tupai,Nyalindung,Laut,Sehat,Seblak
41,P,S1,Membaca,Guru,Tupai,Sukabumi,Ketinggian,Artis,Batagor
53,L,SMA,Ngoding,Pustakawan,Tupai,Nyalindung,Gelap,Hitam,Batagor
32,P,SMA,Ngoding,Trainer,Otter,Nyalindung,Laut,Hitam,Cimol
56,P,S1,Membaca,Pustakawan,Tupai,Sukabumi,Laut,Kaya Raya,Seblak
26,L,SMK,GYM,Trainer,Otter,Sukabumi,Laut,Kaya Raya,Nasi Padang
20,P,SMK,Membaca,Pustakawan,Otter,Sukabumi,Laut,Artis,Risol Charel
39,P,S1,Membaca,Trainer,Tupai,Nyalindung,Ketinggian,Kaya Raya,Cimol
48,L,SMA,GYM,Pustakawan,Otter,Nyalindung,Ketinggian,Kaya Raya,Batagor
50,P,S2,GYM,Guru,Anjing,Cisaat,Gelap,Sehat,Nasi Padang
43,L,S2,Ngoding,Pustakawan,Kucing,Nyalindung,Ketinggian,Hitam,Nasi Padang
20,P,SMA,Ngoding,Trainer,Anjing,Sukabumi,Gelap,Artis,Nasi Padang
40,P,SMK,Ngoding,Pustakawan,Kucing,Cisaat,Gelap,Hitam,Batagor
18,P,S2,GYM,Trainer,Tupai,Cisaat,Laut,Sehat,Cimol
18,L,SMA,Ngoding,Guru,Anjing,Cisaat,Laut,Hitam,Nasi Padang
36,P,S1,Membaca,Trainer,Tupai,Cisaat,Laut,Artis,Batagor
55,P,S2,Ngoding,Guru,Otter,Nyalindung,Laut,Hitam,Risol Charel
21,P,SMK,Membaca,Guru,Otter,Cisaat,Laut,Sehat,Seblak
45,L,SMK,GYM,Trainer,Tupai,Sukabumi,Gelap,Kaya Raya,Risol Charel
38,L,SMA,Ngoding,Guru,Kucing,Nyalindung,Gelap,Hitam,Batagor
33,L,SMA,Ngoding,Pustakawan,Otter,Sukabumi,Gelap,Kaya Raya,Seblak
44,P,SMA,Membaca,Guru,Kucing,Sukabumi,Laut,Sehat,Cimol
29,L,SMK,Membaca,Guru,Otter,Nyalindung,Ketinggian,Kaya Raya,Risol Charel
23,P,SMA,Membaca,Trainer,Tupai,Cisaat,Gelap,Kaya Raya,Cimol
45,L,S1,Ngoding,Trainer,Anjing,Sukabumi,Gelap,Artis,Nasi Padang
24,P,SMA,GYM,Trainer,Anjing,Nyalindung,Laut,Hitam,Seblak
39,P,S1,Membaca,Guru,Anjing,Cisaat,Laut,Artis,Seblak
47,L,S1,Membaca,Guru,Tupai,Sukabumi,Gelap,Kaya Raya,Batagor
43,L,S2,Ngoding,Guru,Anjing,Sukabumi,Gelap,Hitam,Risol Charel
55,L,SMK,Membaca,Pustakawan,Otter,Cisaat,Ketinggian,Hitam,Seblak
55,P,S1,Ngoding,Guru,Kucing,Cisaat,Gelap,Sehat,Risol Charel
54,P,S2,GYM,Trainer,Kucing,Sukabumi,Ketinggian,Hitam,Nasi Padang
53,L,S1,Ngoding,Guru,Kucing,Sukabumi,Ketinggian,Artis,Cimol
44,L,SMA,Membaca,Pustakawan,Tupai,Cisaat,Ketinggian,Hitam,Cimol
42,L,SMA,Membaca,Pustakawan,Anjing,Cisaat,Laut,Hitam,Seblak
22,L,SMA,Membaca,Trainer,Anjing,Sukabumi,Gelap,Artis,Cimol
36,P,SMA,Membaca,Guru,Kucing,Cisaat,Ketinggian,Kaya Raya,Batagor
60,L,SMK,Membaca,Trainer,Anjing,Sukabumi,Gelap,Sehat,Nasi Padang
28,L,SMK,Ngoding,Guru,Kucing,Sukabumi,Gelap,Hitam,Batagor
54,L,SMK,Membaca,Trainer,Otter,Nyalindung,Ketinggian,Sehat,Cimol
41,L,S1,GYM,Pustakawan,Otter,Cisaat,Ketinggian,Sehat,Cimol
32,P,S1,GYM,Trainer,Otter,Nyalindung,Gelap,Kaya Raya,Nasi Padang
59,L,S2,GYM,Trainer,Anjing,Cisaat,Gelap,Kaya Raya,Nasi Padang
47,L,S1,Membaca,Trainer,Kucing,Cisaat,Gelap,Artis,Batagor
48,P,SMK,Membaca,Trainer,Kucing,Nyalindung,Laut,Kaya Raya,Cimol
55,P,S1,Ngoding,Pustakawan,Tupai,Cisaat,Laut,Hitam,Seblak
54,L,SMA,Membaca,Pustakawan,Tupai,Nyalindung,Gelap,Sehat,Risol Charel
18,P,S1,Ngoding,Pustakawan,Otter,Cisaat,Ketinggian,Kaya Raya,Batagor
36,P,S1,GYM,Pustakawan,Otter,Sukabumi,Gelap,Hitam,Seblak
54,L,S2,GYM,Pustakawan,Kucing,Nyalindung,Laut,Sehat,Nasi Padang
32,L,SMK,Membaca,Pustakawan,Kucing,Nyalindung,Laut,Sehat,Seblak
47,P,S1,Membaca,Pustakawan,Kucing,Sukabumi,Gelap,Artis,Seblak
52,L,SMA,Membaca,Trainer,Otter,Nyalindung,Gelap,Hitam,Cimol
24,P,S1,Ngoding,Guru,Anjing,Nyalindung,Ketinggian,Sehat,Risol Charel
55,P,SMK,GYM,Pustakawan,Anjing,Sukabumi,Laut,Kaya Raya,Nasi Padang
21,L,S1,Membaca,Guru,Kucing,Sukabumi,Laut,Hitam,Risol Charel
24,P,S1,GYM,Guru,Anjing,Nyalindung,Ketinggian,Artis,Cimol
27,P,S2,Membaca,Guru,Otter,Cisaat,Laut,Artis,Cimol
48,P,SMK,Ngoding,Guru,Kucing,Sukabumi,Ketinggian,Hitam,Cimol
46,L,SMA,Membaca,Trainer,Kucing,Nyalindung,Gelap,Artis,Cimol
58,P,S2,Ngoding,Guru,Anjing,Nyalindung,Ketinggian,Hitam,Nasi Padang
55,P,SMA,GYM,Guru,Kucing,Cisaat,Laut,Sehat,Seblak
54,P,SMA,GYM,Trainer,Otter,Cisaat,Gelap,Hitam,Risol Charel
46,P,S2,Membaca,Guru,Tupai,Nyalindung,Gelap,Hitam,Seblak
34,P,S2,Membaca,Guru,Kucing,Nyalindung,Laut,Artis,Risol Charel
37,P,SMA,Ngoding,Guru,Anjing,Cisaat,Gelap,Artis,Batagor
28,P,SMK,Ngoding,Trainer,Kucing,Sukabumi,Laut,Hitam,Seblak
56,P,S1,GYM,Pustakawan,Anjing,Sukabumi,Laut,Artis,Batagor
49,L,SMA,GYM,Trainer,Anjing,Sukabumi,Gelap,Sehat,Batagor
28,L,SMA,Membaca,Guru,Otter,Sukabumi,Ketinggian,Kaya Raya,Batagor
21,L,S2,GYM,Guru,Kucing,Nyalindung,Laut,Artis,Nasi Padang
37,L,SMK,Ngoding,Pustakawan,Otter,Cisaat,Ketinggian,Kaya Raya,Cimol
53,L,SMK,Ngoding,Guru,Tupai,Nyalindung,Ketinggian,Artis,Risol Charel
54,P,S1,GYM,Guru,Tupai,Cisaat,Ketinggian,Sehat,Cimol
29,L,SMK,GYM,Trainer,Otter,Cisaat,Laut,Kaya Raya,Cimol
33,P,SMK,Membaca,Guru,Tupai,Nyalindung,Ketinggian,Artis,Batagor
39,P,S2,GYM,Pustakawan,Otter,Nyalindung,Ketinggian,Kaya Raya,Risol Charel
21,P,S2,Ngoding,Trainer,Tupai,Cisaat,Gelap,Kaya Raya,Risol Charel
56,L,S2,Ngoding,Pustakawan,Anjing,Sukabumi,Gelap,Sehat,Nasi Padang
19,L,SMK,Membaca,Trainer,Anjing,Nyalindung,Gelap,Sehat,Cimol
56,P,S1,Membaca,Guru,Anjing,Cisaat,Gelap,Sehat,Batagor
34,P,S1,Ngoding,Pustakawan,Anjing,Cisaat,Ketinggian,Artis,Seblak
55,P,S1,Ngoding,Guru,Tupai,Nyalindung,Laut,Kaya Raya,Batagor
44,L,S2,Membaca,Guru,Kucing,Nyalindung,Ketinggian,Sehat,Risol Charel
33,L,S2,Ngoding,Pustakawan,Kucing,Nyalindung,Ketinggian,Artis,Seblak
30,L,SMA,GYM,Trainer,Tupai,Nyalindung,Laut,Hitam,Cimol
37,L,SMK,Membaca,Pustakawan,Kucing,Cisaat,Gelap,Sehat,Risol Charel
40,P,S2,GYM,Trainer,Kucing,Sukabumi,Gelap,Artis,Cimol
30,L,SMK,Ngoding,Pustakawan,Kucing,Sukabumi,Ketinggian,Artis,Nasi Padang
21,L,S2,Membaca,Guru,Kucing,Cisaat,Laut,Kaya Raya,Batagor
43,L,S1,GYM,Trainer,Anjing,Sukabumi,Laut,Hitam,Seblak
22,L,S2,GYM,Pustakawan,Anjing,Nyalindung,Laut,Hitam,Seblak
